year,game_datetime,game_pk,position,AB,OBP,SLG,OPS
2014,2014-04-26T02:10:00Z,380879,P,3,0.0,0.0,0.0
2014,2014-04-26T01:40:00Z,380884,P,2,0.0,0.0,0.0
2014,2014-04-26T02:15:00Z,380878,P,2,0.0,0.0,0.0
2014,2014-04-26T17:05:00Z,380901,P,3,0.333,0.333,0.667
2014,2014-04-26T20:05:00Z,380893,P,1,0.0,0.0,0.0
2014,2014-04-26T20:05:00Z,380900,P,1,0.5,0.0,0.5
2014,2014-04-26T23:10:00Z,380892,P,3,0.0,0.0,0.0
2014,2014-04-26T23:10:00Z,380897,P,2,0.0,0.0,0.0
2014,2014-04-26T23:10:00Z,380891,P,2,0.333,0.0,0.333
2014,2014-04-27T00:10:00Z,380899,P,2,0.0,0.0,0.0
2014,2014-04-27T17:10:00Z,380912,P,1,0.5,0.0,0.5
2014,2014-04-27T17:35:00Z,380916,P,1,0.0,0.0,0.0
2014,2014-04-27T17:35:00Z,380907,P,2,0.0,0.0,0.0
2014,2014-04-27T18:10:00Z,380906,P,2,0.0,0.0,0.0
2014,2014-04-27T18:15:00Z,380915,P,3,0.0,0.0,0.0
2014,2014-04-27T20:05:00Z,380908,P,2,0.0,0.0,0.0
2014,2014-04-27T01:10:00Z,380894,P,2,0.0,0.0,0.0
2014,2014-04-27T20:10:00Z,380909,P,2,0.5,0.5,1.0
2014,2014-04-27T20:10:00Z,380914,P,2,0.0,0.0,0.0
2014,2014-04-29T01:40:00Z,380921,P,1,0.0,0.0,0.0
2014,2014-04-29T00:15:00Z,380922,P,2,0.0,0.0,0.0
2014,2014-07-08T17:10:00Z,380919,P,2,0.0,0.0,0.0
2014,2014-04-29T02:15:00Z,380924,P,1,0.0,0.0,0.0
2014,2014-04-29T23:05:00Z,380933,P,1,0.0,0.0,0.0
2014,2014-04-29T23:10:00Z,380927,P,2,0.0,0.0,0.0
2014,2014-04-30T00:15:00Z,380932,P,1,0.0,0.0,0.0
