year,game_datetime,game_pk,team_winner,team_loser,final_inning
2014,2014-09-06 19:00:00+00:00,382643,Pittsburgh Pirates,Chicago Cubs,11
2014,2014-09-05 23:10:00+00:00,382648,Boston Red Sox,Toronto Blue Jays,10
2014,2014-09-06 00:10:00+00:00,382634,Los Angeles Angels,Minnesota Twins,10
2014,2014-09-06 23:10:00+00:00,382651,Atlanta Braves,Miami Marlins,10
2014,2014-09-07 00:10:00+00:00,382659,Colorado Rockies,San Diego Padres,12
2014,2014-09-07 17:40:00+00:00,382667,Baltimore Orioles,Tampa Bay Rays,11
2014,2014-09-09 00:10:00+00:00,382686,Chicago White Sox,Oakland Athletics,12
2014,2014-09-12 17:05:00+00:00,382324,Baltimore Orioles,New York Yankees,11
2014,2014-09-12 23:05:00+00:00,382738,Philadelphia Phillies,Miami Marlins,10
2014,2014-09-14 01:10:00+00:00,382756,Oakland Athletics,Seattle Mariners,10
2014,2014-09-14 17:07:00+00:00,382773,Tampa Bay Rays,Toronto Blue Jays,10
2014,2014-09-17 00:15:00+00:00,382794,Milwaukee Brewers,St. Louis Cardinals,12
2014,2014-09-19 00:10:00+00:00,382819,Cleveland Indians,Houston Astros,13
2014,2014-09-19 00:15:00+00:00,382821,St. Louis Cardinals,Milwaukee Brewers,13
2014,2014-09-19 23:05:00+00:00,382828,Boston Red Sox,Baltimore Orioles,10
2014,2014-09-20 00:10:00+00:00,382831,Minnesota Twins,Cleveland Indians,10
2014,2014-09-22 22:05:00+00:00,382573,Cleveland Indians,Kansas City Royals,10
2014,2014-09-21 20:05:00+00:00,382866,Oakland Athletics,Philadelphia Phillies,10
2014,2014-09-23 02:10:00+00:00,382881,San Francisco Giants,Los Angeles Dodgers,13
2014,2014-09-24 00:05:00+00:00,382896,Chicago Cubs,St. Louis Cardinals,10
2014,2014-09-27 01:40:00+00:00,382937,St. Louis Cardinals,Arizona Diamondbacks,10
2014,2014-09-27 17:05:00+00:00,382950,Cincinnati Reds,Pittsburgh Pirates,10
2014,2014-09-28 01:10:00+00:00,382943,Los Angeles Dodgers,Colorado Rockies,12
2014,2014-09-28 01:10:00+00:00,382939,Seattle Mariners,Los Angeles Angels,11
